date,match,WON,type,rating,promotion,event,participants
18.10.2003,Ahmed Chaer vs. American Dragon,,Singles,6.22,German Stampede Wrestling,NA,"Ahmed Chaer, American Dragon"
18.09.2004,Nigel McGuinness vs. Samoa Joe,,Singles,6.22,IWA Mid-South,NA,"Nigel McGuinness, Samoa Joe"
05.03.2004,Ahmed Chaer vs. Samoa Joe,,Singles,6.22,German Stampede Wrestling,NA,"Ahmed Chaer, Samoa Joe"
12.01.2008,Austin Aries vs. Claudio Castagnoli,,Singles,6.22,Ring Of Honor,NA,"Austin Aries, Claudio Castagnoli"
25.01.2008,Austin Aries vs. Davey Richards vs. Erick Stevens,,Three Way,6.22,Ring Of Honor,NA,"Austin Aries, Davey Richards, Erick Stevens"
25.01.2015,Alberto El Patron vs. Texano,,Bullrope,6.22,Lucha Underground,NA,"Alberto El Patron, Texano"
19.11.2016,Akam & Rezar vs. Nick Miller & Shane Thorne,,Tag Team,6.22,World Wrestling Entertainment,NA,"Akam, Rezar, Nick Miller, Shane Thorne"
22.08.1999,Kane & X-Pac vs. The Big Show & The Undertaker,,Tag Team,6.22,World Wrestling Federation,NA,"Kane, X-Pac, The Big Show, The Undertaker"
18.03.2020,"Adam Page, Cody  & Matt Jackson vs. Jake Hager, Ortiz  & Santana   ",,Six Man Tag Team,6.22,All Elite Wrestling,NA,"Adam Page, Cody, Matt Jackson, Jake Hager, Ortiz, Santana"
26.08.1991,Ted DiBiase vs. Virgil,,Singles,6.22,World Wrestling Federation,NA,"Ted DiBiase, Virgil"
13.11.2019,Chris Jericho & Sammy Guevara vs. Frankie Kazarian & Scorpio Sky,,Tag Team,6.22,All Elite Wrestling,NA,"Chris Jericho, Sammy Guevara, Frankie Kazarian, Scorpio Sky"
01.09.2020,"Fandango, Isaiah Scott & Tyler Breeze vs. Joaquin Wilde, Raul Mendoza & Santos Escobar",,Six Man Tag Team Street Fight,6.22,World Wrestling Entertainment,NA,"Fandango, Isaiah Scott, Tyler Breeze, Joaquin Wilde, Raul Mendoza, Santos Escobar"
29.03.1998,Aguila vs. Taka Michinoku,,Singles,6.22,World Wrestling Federation,NA,"Aguila, Taka Michinoku"
29.02.1992,Cactus Jack vs. Ron Simmons,,Singles,6.22,World Championship Wrestling,NA,"Cactus Jack, Ron Simmons"
18.09.2020,Delirious vs. Matt Sydal,,Singles,6.22,Ring Of Honor,NA,"Delirious, Matt Sydal"
10.09.2020,Matt Sydal vs. Shawn Spears,,Singles,6.22,All Elite Wrestling,NA,"Matt Sydal, Shawn Spears"
23.11.1994,The Undertaker vs. Yokozuna,,Casket,6.22,World Wrestling Federation,NA,"The Undertaker, Yokozuna"
15.12.2020,Bear Boulder & Bear Bronson vs. Evil Uno & Stu Grayson,,Tag Team,6.22,All Elite Wrestling,NA,"Bear Boulder, Bear Bronson, Evil Uno, Stu Grayson"
28.12.2020,AJ Styles vs. Elias ,,Singles,6.22,World Wrestling Entertainment,NA,"AJ Styles, Elias"
03.02.2021,August Grey vs. Jake Atlas,,Singles,6.22,World Wrestling Entertainment,NA,"August Grey, Jake Atlas"
19.11.2000,Rikishi vs. The Rock,,Singles,6.22,World Wrestling Federation,NA,"Rikishi, The Rock"
17.04.2021,"Himeka, Maika & Natsupoi vs. Hina, Saya Kamitani & Utami Hayashishita",,Six Man Tag Team,6.22,World Wonder Ring Stardom,NA,"Himeka, Maika, Natsupoi, Hina, Saya Kamitani, Utami Hayashishita"
26.06.2021,Atsuki Aoyagi & Rising HAYATO vs. Dan Tamura & Hikaru Sato vs. SUGI & Tatsuhito Takaiwa,,Three Way Tag Team,6.22,All Japan Pro Wrestling,NA,"Atsuki Aoyagi, Rising HAYATO, Dan Tamura, Hikaru Sato, SUGI, Tatsuhito Takaiwa"
07.07.2021,"Cash Wheeler, Dax Harwood & Wardlow vs. Jake Hager, Ortiz  & Santana   ",,Six Man Tag Team,6.22,All Elite Wrestling,NA,"Cash Wheeler, Dax Harwood, Wardlow, Jake Hager, Ortiz, Santana"
24.07.2021,G-Raver & Jimmy Lloyd vs. Mance Warner & Matthew Justice,,Tag Team,6.22,Game Changer Wrestling,NA,"G-Raver, Jimmy Lloyd, Mance Warner, Matthew Justice"
02.09.2021,1 Called Manders vs. Juice Robinson,,Singles,6.22,AAW: Professional Wrestling Redefined,NA,"1 Called Manders, Juice Robinson"
09.10.2021,Shane Mercer vs. Yoya,,Singles,6.22,Game Changer Wrestling,NA,Shane Mercer
16.10.2021,Hanan & Mayu Iwatani vs. Saki Kashima & Starlight Kid,,Tag Team,6.22,World Wonder Ring Stardom,NA,"Hanan, Mayu Iwatani, Saki Kashima, Starlight Kid"
23.10.2021,Arez vs. Ninja Mack,,Singles,6.22,Game Changer Wrestling,NA,"Arez, Ninja Mack"
26.10.2021,Mandy Rose vs. Raquel Gonzalez,,Street Fight,6.22,World Wrestling Entertainment,NA,"Mandy Rose, Raquel Gonzalez"
14.11.2021,Dragon Lee   & Kenny King vs. Matt Taven & Mike Bennett,,Tag Team,6.22,Ring Of Honor,NA,"Dragon Lee, Kenny King, Matt Taven, Mike Bennett"
19.11.2021,Sasha Banks vs. Shotzi,,Singles,6.22,World Wrestling Entertainment,NA,"Sasha Banks, Shotzi"
15.01.2022,2 Cold Scorpio vs. Jonathan Gresham,,Singles,6.22,Game Changer Wrestling,NA,"2 Cold Scorpio, Jonathan Gresham"
10.02.2022,A-Kid vs. Saxon Huxley,,Singles,6.22,World Wrestling Entertainment,NA,"A-Kid, Saxon Huxley"
06.02.2022,"Hayato Tamura, KAZMA SAKAMOTO, Nobuhiro Shimatani & Ryuichi Kawakami vs. Kaz Hayashi, Minoru Tanaka, Shigehiro Irie & T-Hawk",,Eight Man Tag Team,6.22,GLEAT,NA,"Hayato Tamura, KAZMA SAKAMOTO, Nobuhiro Shimatani, Ryuichi Kawakami, Kaz Hayashi, Minoru Tanaka, Shigehiro Irie, T-Hawk"
02.03.2007,Chris Benoit vs. Finlay vs. Montel Vontavious Porter,***1/4,Triple Threat,6.22,World Wrestling Entertainment,WWE Friday Night SmackDown #393,"Chris Benoit, Finlay, Montel Vontavious Porter"
